23.03. 17:26:10.763    GameProcessExited: Adding match to statistics.
23.03. 17:26:10.763    Skipping adding match to statistics because game only had one player.
23.03. 17:26:23.087    Writing spawn.ini
23.03. 17:26:23.088    Writing map.
23.03. 17:26:23.088    Loading map INI from C:\Command and Conquer\Red Alert 2 and Yuri Revenge\Red Alert 2\Mod\Yuri Revenge Community Edition Redux\Maps\Standard\xgrinder.map
23.03. 17:26:23.098    About to launch main game executable.
23.03. 17:26:23.104    Writing settings INI.
23.03. 17:26:23.104    Launch executable: C:\Command and Conquer\Red Alert 2 and Yuri Revenge\Red Alert 2\Mod\Yuri Revenge Community Edition Redux\syringe.exe
23.03. 17:26:23.105    Launch arguments:  "gamemd.exe" -SPAWN -LOG -CD
23.03. 17:26:23.110    GameProcessLogic: Process started.
23.03. 17:26:23.120    Waiting for qres.dat or syringe.exe to exit.
23.03. 17:29:28.124    GameProcessLogic: Process exited.
23.03. 17:29:28.334    GameProcessExited: Parsing statistics.
23.03. 17:29:28.334    Parsing game statistics.
23.03. 17:29:28.334    Attempting to read statistics from debug/debug.log
23.03. 17:29:28.345    GameProcessExited: Adding match to statistics.
23.03. 17:29:28.345    Skipping adding match to statistics because game only had one player.
23.03. 17:30:35.717    Writing spawn.ini
23.03. 17:30:35.718    Writing map.
23.03. 17:30:35.719    Loading map INI from C:\Command and Conquer\Red Alert 2 and Yuri Revenge\Red Alert 2\Mod\Yuri Revenge Community Edition Redux\Maps\Standard\xgrinder.map
23.03. 17:30:35.729    About to launch main game executable.
23.03. 17:30:35.733    Writing settings INI.
23.03. 17:30:35.735    Launch executable: C:\Command and Conquer\Red Alert 2 and Yuri Revenge\Red Alert 2\Mod\Yuri Revenge Community Edition Redux\syringe.exe
23.03. 17:30:35.735    Launch arguments:  "gamemd.exe" -SPAWN -LOG -CD
23.03. 17:30:35.742    GameProcessLogic: Process started.
23.03. 17:30:35.765    Waiting for qres.dat or syringe.exe to exit.
23.03. 17:41:27.301    GameProcessLogic: Process exited.
23.03. 17:41:27.357    GameProcessExited: Parsing statistics.
23.03. 17:41:27.357    Parsing game statistics.
23.03. 17:41:27.358    Attempting to read statistics from debug/debug.log
23.03. 17:41:27.372    GameProcessExited: Adding match to statistics.
23.03. 17:41:27.372    Skipping adding match to statistics because game only had one player.
23.03. 17:41:45.740    Writing spawn.ini
23.03. 17:41:45.742    Writing map.
23.03. 17:41:45.742    Loading map INI from C:\Command and Conquer\Red Alert 2 and Yuri Revenge\Red Alert 2\Mod\Yuri Revenge Community Edition Redux\Maps\Standard\xgrinder.map
23.03. 17:41:45.752    About to launch main game executable.
23.03. 17:41:45.757    Writing settings INI.
23.03. 17:41:45.758    Launch executable: C:\Command and Conquer\Red Alert 2 and Yuri Revenge\Red Alert 2\Mod\Yuri Revenge Community Edition Redux\syringe.exe
23.03. 17:41:45.758    Launch arguments:  "gamemd.exe" -SPAWN -LOG -CD
23.03. 17:41:45.764    GameProcessLogic: Process started.
23.03. 17:41:45.774    Waiting for qres.dat or syringe.exe to exit.
23.03. 17:42:49.633    GameProcessLogic: Process exited.
23.03. 17:42:49.783    GameProcessExited: Parsing statistics.
23.03. 17:42:49.783    Parsing game statistics.
23.03. 17:42:49.783    Attempting to read statistics from debug/debug.log
23.03. 17:42:49.783    GameProcessExited: Adding match to statistics.
23.03. 17:42:49.785    Skipping adding match to statistics because game only had one player.
23.03. 17:43:13.126    Writing spawn.ini
23.03. 17:43:13.128    Writing map.
23.03. 17:43:13.128    Loading map INI from C:\Command and Conquer\Red Alert 2 and Yuri Revenge\Red Alert 2\Mod\Yuri Revenge Community Edition Redux\Maps\Standard\xgrinder.map
23.03. 17:43:13.138    About to launch main game executable.
23.03. 17:43:13.142    Writing settings INI.
23.03. 17:43:13.143    Launch executable: C:\Command and Conquer\Red Alert 2 and Yuri Revenge\Red Alert 2\Mod\Yuri Revenge Community Edition Redux\syringe.exe
23.03. 17:43:13.144    Launch arguments:  "gamemd.exe" -SPAWN -LOG -CD
23.03. 17:43:13.148    GameProcessLogic: Process started.
23.03. 17:43:13.162    Waiting for qres.dat or syringe.exe to exit.
23.03. 17:44:30.144    GameProcessLogic: Process exited.
23.03. 17:44:30.203    GameProcessExited: Parsing statistics.
23.03. 17:44:30.203    Parsing game statistics.
23.03. 17:44:30.203    Attempting to read statistics from debug/debug.log
23.03. 17:44:30.203    GameProcessExited: Adding match to statistics.
23.03. 17:44:30.203    Skipping adding match to statistics because game only had one player.
23.03. 17:50:22.099    Writing spawn.ini
23.03. 17:50:22.100    Writing map.
23.03. 17:50:22.100    Loading map INI from C:\Command and Conquer\Red Alert 2 and Yuri Revenge\Red Alert 2\Mod\Yuri Revenge Community Edition Redux\Maps\Standard\xgrinder.map
23.03. 17:50:22.111    About to launch main game executable.
23.03. 17:50:22.115    Writing settings INI.
23.03. 17:50:22.116    Launch executable: C:\Command and Conquer\Red Alert 2 and Yuri Revenge\Red Alert 2\Mod\Yuri Revenge Community Edition Redux\syringe.exe
